Datum;Kategorie;Flugpassagiere;Luftfracht;Flugbewegungen
01.01.2019;Fracht Express;0;;
01.01.2019;Andere Kategorien;0;0;6
01.01.2019;Passagierverkehr;20812;0;167
01.01.2019;Fracht Cargo;0;;
02.01.2019;Passagierverkehr;24541;0;182
02.01.2019;Fracht Cargo;0;;
02.01.2019;Fracht Express;0;86;12
02.01.2019;Andere Kategorien;9;0;53
03.01.2019;Passagierverkehr;24464;0;191
03.01.2019;Fracht Cargo;0;;
03.01.2019;Andere Kategorien;4;0;74
03.01.2019;Fracht Express;0;129;19
04.01.2019;Fracht Express;0;108;13
04.01.2019;Andere Kategorien;3;0;77
04.01.2019;Passagierverkehr;25656;0;204
04.01.2019;Fracht Cargo;0;;
05.01.2019;Passagierverkehr;23231;5;179
05.01.2019;Fracht Cargo;0;;
05.01.2019;Andere Kategorien;2;0;5
05.01.2019;Fracht Express;0;25;4
06.01.2019;Fracht Express;0;;
06.01.2019;Fracht Cargo;0;;
06.01.2019;Passagierverkehr;26254;0;203
06.01.2019;Andere Kategorien;13;0;37
07.01.2019;Fracht Express;0;151;13
07.01.2019;Andere Kategorien;0;0;47
07.01.2019;Passagierverkehr;17815;0;177
07.01.2019;Fracht Cargo;0;;
08.01.2019;Passagierverkehr;13279;1;138
08.01.2019;Fracht Express;0;190;20
08.01.2019;Fracht Cargo;0;;
08.01.2019;Andere Kategorien;1;0;37
09.01.2019;Fracht Express;0;209;20
09.01.2019;Fracht Cargo;0;48;2
09.01.2019;Andere Kategorien;4;0;12
09.01.2019;Passagierverkehr;10725;1;127
10.01.2019;Fracht Cargo;0;;
10.01.2019;Andere Kategorien;4;0;21
10.01.2019;Passagierverkehr;12297;1;144
10.01.2019;Fracht Express;0;207;20
11.01.2019;Passagierverkehr;17446;1;169
11.01.2019;Fracht Express;0;162;13
11.01.2019;Fracht Cargo;0;45;2
11.01.2019;Andere Kategorien;0;0;62
12.01.2019;Fracht Cargo;0;82;4
12.01.2019;Fracht Express;0;31;4
12.01.2019;Passagierverkehr;13050;3;127
12.01.2019;Andere Kategorien;8;0;18
13.01.2019;Passagierverkehr;20277;0;189
13.01.2019;Fracht Express;0;;
13.01.2019;Andere Kategorien;0;0;6
13.01.2019;Fracht Cargo;0;63;4
14.01.2019;Andere Kategorien;20;0;31
14.01.2019;Passagierverkehr;12585;0;137
14.01.2019;Fracht Cargo;0;40;2
14.01.2019;Fracht Express;0;201;15
15.01.2019;Fracht Cargo;0;;
15.01.2019;Andere Kategorien;20;0;47
15.01.2019;Passagierverkehr;11131;2;126
15.01.2019;Fracht Express;0;215;20
16.01.2019;Fracht Express;0;213;19
16.01.2019;Passagierverkehr;10158;0;120
16.01.2019;Andere Kategorien;9;0;127
16.01.2019;Fracht Cargo;0;43;2
17.01.2019;Passagierverkehr;12316;1;136
17.01.2019;Fracht Express;0;226;21
17.01.2019;Andere Kategorien;8;0;14
17.01.2019;Fracht Cargo;0;;
18.01.2019;Fracht Express;0;157;13
18.01.2019;Fracht Cargo;0;36;2
18.01.2019;Passagierverkehr;20103;1;180
18.01.2019;Andere Kategorien;4;0;64
19.01.2019;Passagierverkehr;12549;1;127
